Merchant, Amount
 BHARTI AIRTEL LTD   ,2000.00
 AMAZONS SVCS        ,8999.00
 SANA SUPER MART     ,2709.00
 APOLLO PHARMACY     ,1754.00
 CENTRAL             ,3767.17
 WWW SWIGGY IN       ,404.00
 NICHE BEAUTE SOLUTIO,829.00
 WWW BIGBASKET COM   ,1772.00
 LIFE STYLE INTERNATI,1050.00
 LIFE STYLE INTERNATI,1098.00
 WWW BIGBASKET COM   ,1403.00
 HAIKU MOTORS PVT LTD,3177.00
 RAZORPAY PAYMENTS   ,179.00
 RAZORPAY PAYMENTS   ,190.00
 TOONZ RETAIL INDIA P,630.00
 JFK TRUST HANES     ,966.00
 ENRICH HAIR & SKIN S,1058.00
 HYPERCITY RETAIL IND,1875.00
 SHOPPERS STOP LTD   ,32000.00
 WWW.IRCTC.CO.IN INR ,-1770.00
 WWW SWIGGY IN       ,640.00
 WWW BIGBASKET COM   ,1312.00
 WWW BIGBASKET COM   ,419.00
 AMAZONS SVCS        ,1075.00
 BARISTA COFFEE      ,112.00
 WWW SWIGGY IN       ,541.00
 HOME STOP RETAIL FOR,7389.00
 AMAZONS SVCS        ,170.00
 WWW SWIGGY IN       ,566.00
 SANA SUPER MART     ,1510.00
 NALLI SILK SAREES   ,2930.00
 NALLI SILK SAREES   ,2930.00
 WWW BIGBASKET COM   ,753.00
 BIGBASKET.COM       ,1743.00
 Online Payment      ,-113000.00
 AMAZONS SVCS        ,1293.76
 AIRTEL              ,1623.91
 HOME TOWN           ,2900.00
 CENTRAL             ,3498.00
 INNOVATIVE RETAIL CO,1791.00
 SERVICE TAX REVERSAL,-6.48
PREVIOUS BALANCE,112163.95
Month, 7 2016
Expenditure
Merchant, Amount
 SANA SUPER MART     ,205.00
 HOME TOWN−CT−BENGALU,354.37
 CAFE COFFEE DAY     ,868.00
 AMAZON SELLER SERVIC,1176.00
 AMAZONS SVCS        ,409.00
 APOLLO HOSPITALS −BA,500.00
 APOLLO HOSPITALS −BA,1030.00
 WILDCRAFT           ,395.00
 MKDABBAWALA         ,554.50
 WILDCRAFT           ,2340.00
 www.freshmenu.com   ,200.00
 HYPERCITY RETAIL IND,2966.50
 PayU                ,173.00
 APOLLO HOSPITALS −BA,180.00
 APOLLO HOSPITALS −BA,500.00
 M K AHMED FRUITS AND,550.00
 APOLLO PHARMACY     ,631.00
 SANA SUPER MART     ,2405.00
 CitruspayZivame     ,999.00
 SWIGGY.IN           ,359.00
 NARAYANA NETHRALAY  ,400.00
 VIDEOCOND2H LTD     ,650.00
 HYPERCITY RETAIL IND,1412.00
 AMAZONS SVCS        ,1498.00
 AMAZONS SVCS        ,300.00
 WWW SWIGGY IN       ,248.00
 freshmenu_PayU      ,350.00
 M K AHMED FRUITS AND,686.00
 SANA SUPER MART     ,1070.00
 RELIGARE WELLNESS LT,1803.00
 Online Payment      ,-97000.00
 WWW BIGBASKET COM   ,314.00
 PayU                ,134.00
 ANAND SWEETS & SAVOU,295.00
 LIFE STYLE INTERNATI,804.00
 SHOPPERS STOP LTD   ,9397.00
 WWW.IRCTC.CO.IN INR ,894.13
 WWW.IRCTC.CO.IN INR ,894.13
 SHOPPERS STOP LTD   ,928.50
 PayU                ,1100.00
 WWW.IRCTC.CO.IN INR ,1384.07
 WWW.IRCTC.CO.IN INR ,1384.07
 LIFE STYLE INTERNATI,1565.20
 SHOPPERS STOP LTD   ,5027.00
 PayU                ,203.00
 AIRTEL              ,1244.11
 WWW.IRCTC.CO.IN INR ,-450.00
 CHRISTIAN MEDICAL CO,7885.00
 WWW.IRCTC.CO.IN INR ,1384.07
 AMETHYST CAFE P LTD ,900.00
 WWW.IRCTC.CO.IN INR ,-640.00
 SER TAX & CESS 15%  ,21.72
 SERVICE TAX REVERSAL,-20.65
PREVIOUS BALANCE,96444.31
Month, 8 2016
Expenditure
Merchant, Amount
 WWW.IRCTC.CO.IN INR ,1200.34
 IRCTC.CO.IN 00000000,1465.71
 LE CHATEAU          ,10482.00
 IRCTC.CO.IN 00000000,-704.28
 mkdabbawala_PayTM   ,294.50
 PAYU MONEY          ,218.50
 REAL MART           ,1280.00
 HOME STOP RETAIL FOR,576.50
 LIFE STYLE INTERNATI,1104.00
 AMAZONS SVCS        ,1000.00
 AMAZONS SVCS        ,399.00
 AMAZONS SVCS        ,470.00
 WWW BIGBASKET COM   ,764.00
 AMAZONS SVCS        ,2320.00
 RAZORPAY PAYMENTS   ,165.00
 AMAZONS SVCS        ,-2320.00
 UBER INR            ,1.00
 UBER INR            ,150.00
 VIDEOCON D2H LIMIT I,650.00
 NIKE                ,1995.00
 SHOPPERS STOP LTD   ,2123.50
 www.bigbasket.com   ,1693.00
 UBER INR            ,76.29
 UBER INR            ,142.50
 COSTA COFFEE        ,1044.74
 PayU                ,382.00
 BUNDL TECHNOLOGIES P,387.00
 UBER INR            ,135.16
 BENISON SUPER MARKET,2395.00
 SHOPPERS STOP LTD   ,306.00
 NIKE                ,1795.00
 JUST BAKE           ,190.00
 BUNDL TECHNOLOGIES P,473.00
 INNOVATIVE FILM CITY,1800.00
 WWW.IRCTC.CO.IN INR ,1945.45
